iter	RMSE
0	9.845449276
1	9.829136995
2	9.811931292
3	9.79490902
4	9.780217221
5	9.764030368
6	9.748428644
7	9.734515739
8	9.720904706
9	9.705523429
10	9.693974748
11	9.680818448
12	9.669642476
13	9.65894813
14	9.648747541
15	9.638640475
16	9.627109633
17	9.618688736
18	9.608723491
19	9.598640357
20	9.589480087
21	9.579988921
22	9.568325919
23	9.559749687
24	9.552778867
25	9.544809705
26	9.535069532
27	9.526715124
28	9.520958282
29	9.514346563
30	9.506502403
31	9.499084852
32	9.494953211
33	9.488397213
34	9.483742513
35	9.477690694
36	9.470203024
37	9.462042964
38	9.456879371
39	9.452272576
40	9.447759932
41	9.441640711
42	9.433812671
43	9.428645867
44	9.425134928
45	9.42162649
46	9.41758874
47	9.412788682
48	9.408978024
49	9.40662078
50	9.403231662
51	9.398135944
52	9.393600244
53	9.389157932
54	9.385004048
55	9.381715769
56	9.37726117
57	9.374295455
58	9.370876033
59	9.366836495
60	9.363376357
61	9.359532022
62	9.353665452
63	9.349276522
64	9.345831924
65	9.341852626
66	9.340487903
67	9.336488383
68	9.333316208
69	9.327788939
70	9.324926954
71	9.321142711
72	9.318317364
73	9.315654178
74	9.312839342
75	9.309088986
76	9.306649683
77	9.303462398
78	9.300363072
79	9.298582832
80	9.296253273
81	9.292823393
82	9.290507636
83	9.287680225
84	9.285811819
85	9.284017238
86	9.282248459
87	9.280071614
88	9.277637088
89	9.275636073
90	9.272321804
91	9.270049378
92	9.269169827
93	9.266868874
94	9.26502383
95	9.262410865
96	9.260269944
97	9.258319964
98	9.256245083
99	9.254177272
