iter	Passed	Remaining
0	1	232
1	2	219
2	3	214
3	4	209
4	5	205
5	6	201
6	7	198
7	8	197
8	9	195
9	10	193
10	11	191
11	12	190
12	13	189
13	14	187
14	15	186
15	16	185
16	17	184
17	18	183
18	19	181
19	20	180
20	21	179
21	22	178
22	22	176
23	23	175
24	24	174
25	25	172
26	26	171
27	27	170
28	28	169
29	29	168
30	30	167
31	31	166
32	32	165
33	33	164
34	34	163
35	35	162
36	36	161
37	37	160
38	38	159
39	39	158
40	40	157
41	41	156
42	42	155
43	43	154
44	44	153
45	45	152
46	46	151
47	47	150
48	48	149
49	49	149
50	50	147
51	51	146
52	52	145
53	53	144
54	54	143
55	55	142
56	56	141
57	57	140
58	58	139
59	59	138
60	60	137
61	61	136
62	62	135
63	63	134
64	64	133
65	65	132
66	66	131
67	67	130
68	68	129
69	69	128
70	70	127
71	71	126
72	72	125
73	73	124
74	74	123
75	75	122
76	76	121
77	77	120
78	78	119
79	78	118
80	79	117
81	80	116
82	81	115
83	82	114
84	83	113
85	84	112
86	85	111
87	86	110
88	87	109
89	88	108
90	89	107
91	90	106
92	91	105
93	92	104
94	93	103
95	94	102
96	95	101
97	96	100
98	97	99
99	98	98
100	99	97
101	100	96
102	101	95
103	102	94
104	103	93
105	104	92
106	105	91
107	106	90
108	107	89
109	108	88
110	109	87
111	110	86
112	111	85
113	112	84
114	113	83
115	114	82
116	115	81
117	116	80
118	117	79
119	118	78
120	119	77
121	120	76
122	121	75
123	122	74
124	123	73
125	124	73
126	125	72
127	126	71
128	127	70
129	128	69
130	129	68
131	130	67
132	131	66
133	132	65
134	133	64
135	134	63
136	135	62
137	136	61
138	137	60
139	138	59
140	139	58
141	140	57
142	141	56
143	142	55
144	143	54
145	144	53
146	145	52
147	146	51
148	147	50
149	148	49
150	149	48
151	150	47
152	151	46
153	152	45
154	153	44
155	154	43
156	154	42
157	155	41
158	156	40
159	157	39
160	158	38
161	159	37
162	160	36
163	161	35
164	162	34
165	163	33
166	164	32
167	165	31
168	166	30
169	167	29
170	168	28
171	169	27
172	170	26
173	171	25
174	172	24
175	173	23
176	174	22
177	174	21
178	175	20
179	176	19
180	177	18
181	178	17
182	179	16
183	180	15
184	181	14
185	182	13
186	183	12
187	184	11
188	185	10
189	186	9
190	187	8
191	188	7
192	189	6
193	190	5
194	191	4
195	192	3
196	193	2
197	194	1
198	195	0
199	196	0
